School Name,Mobile Number,Telephone Number,Address
"Nri Global Discovery School in Saket Nagar, Bhopal",,755-6720000,"Baghsewaniya, Saket Nagar, Bhopal - 462024, Near Aiims, Opposite Emerald Park City"
"Ies Public School in Neelbad, Bhopal",7947295667,,"IES Campus, Ratibad Main Road, Neelbad, Bhopal - 462044, Near Neelbad"
"Green Rose senior Secondary School in Shahajanabad, Bhopal",7947295213,,"5, Shahajanabad, Bhopal - 462001, Silavatpura"
"Radcliffe School in Bhadbhada Road, Bhopal",7947295460,,"Plot No. 56/1, Bhadbhada Road, Bhopal - 462003, Near Depot Chouraha"
"Arera Convent School and Residential School in Kolar Road, Bhopal",9926454803,,"Sector B-490, Sarvadharm Colony, Kolar Road, Bhopal - 462042, Behind Vishal Mega Mart"
"Suraj Premier Convent Higher Secondary School in Bhanpur, Bhopal",7947295175,,"Shiv Nagar Main Road, Vidisha Road, Bhanpur, Bhopal - 462010, Near Jain Mandir"
"The Iconic School in Suraj Nagar, Bhopal",7947297149,,"Bhadbada Road, Suraj Nagar, Bhopal - 462044, Near Sai Academy"
"Vindhyachal Academy in Kolar Road, Bhopal",7947295254,,"Near D-Mart,, Kolar Road, Bhopal - 462042, Near D-Mart Nayapura"
"Tiny Boots School in Kolar Road, Bhopal",7947296395,,"DK-4/14, Danish Kunj Main Road, Kolar Road, Bhopal - 462042, Danish Kunj Chouraha"
"Sukanya Blooms ( Be A Pillar Not Filler ) in Kolar Road, Bhopal",7947295535,,"Hall no 1 fortune estate 2, Kolar Road, Bhopal - 462042, Mandaki ground"
"St George Co. Ed. Sr. Sec. School in Karond, Bhopal",7947295102,,"Bypass Road, Karond, Bhopal - 462038, Opposite Bhopal Memorial Hospital & Best Price"
"Kanha Kids A Play School & Day Care in Kolar Road, Bhopal",9329214777,,"80/1/ M Sector,Lalita Nagar, Raj Harsh Colony ,Naya Pura, Kolar Road, Bhopal - 462042, Near Nirmala Devi Gate,Near Lotus Hospital"
"The First Step Pre-school in Lalghati, Bhopal",7947295387,,"House No 8/9, Gufha Mandir Road, Lalghati, Bhopal - 462030, Near Maheshwari Hospital"
"New Dimension Schools in Bhopal, Bhopal",,755-4250167,"119 and 120, Housing Board Colony, Bhopal, Bhopal - 462001"
"Campion School in Arera Colony, Bhopal",,755-2464155,"E/7 Bulding, Arera Colony, Bhopal - 462016"
"St Josephs Co Education School in Arera Colony, Bhopal",,755-2565434,"E/6, cfg, Arera Colony, Bhopal - 462016"
"Carmel Convent Government Higher Secondary School in Govindpura, Bhopal",,755-2488578,"Govindpura, Bhopal - 462023, Bhel"
"Delhi Public Schools in Neelbad, Bhopal",,755-6611400,"DPS Campus, Bhadbhada Road, Neelbad, Bhopal - 462044, Near Neelbad Crossing"
"St Joseph Convent Senior Sec School in Idgah Hills, Bhopal",,755-2541266,"Old Bhopal, Royal Market, Idgah Hills, Bhopal - 462001, Near Royal Market"
"The Sanskaar Valley School in Chandanpura, Bhopal",8889533349,,"Baabada Road, Chandanpura, Bhopal - 462016, Sakshi Dhaba"
"Sage International School in Ayodhya Nagar, Bhopal",,755-3983171,"Ayodhya Bypass Road, Ayodhya Nagar, Bhopal - 462041, Near Sirt, K-Sector"
"Sagar Public School in Saket Nagar, Bhopal",,755-2489603,"Plot No 9/A, Saket Nagar, Bhopal - 462024"
"Jawaharlal Nehru School in Habibganj, Bhopal",,755-2505375,"Habib Ganj Bhel Township, Habibganj, Bhopal - 462024"
"St Xaviers Senior Secondary Co Ed School in Bhel, Bhopal",,755-2620072,"Bhel, Bhopal - 462021, Barkhera, Sector C"
"Model Higher Secondary School in Tt Nagar, Bhopal",,755-2764336,"Tt Nagar, Bhopal - 462003, Near New Market"
"Kendriya Vidyalaya in Shikshamandal, Bhopal",,755-2551640,"Hoshangabad Road, Shikshamandal, Bhopal - 462011, Opposite Central India Flour Mills ,Behind State Bank Local Head Office"
